ts|deviceid|sensorid|message
2014-01-06|10042|1|20.512214524434
2014-01-05|10001|10|18.466672795188
2014-01-01|10037|3|13.558220038191
2014-01-02|10042|9|16.686863859935
2014-01-06|10010|2|13.448310368178
2014-01-03|10003|4|18.651059808282
2014-01-01|10003|10|17.704585575309
2014-01-04|10020|1|15.924361738125
2014-01-04|10047|6|17.004761571527
2014-01-02|10015|9|17.224156466508
2014-01-04|10036|1|21.849540806848
2014-01-02|10022|3|17.651451096385
2014-01-02|10050|7|12.351986325551
2014-01-04|10009|10|16.507941510965
2014-01-02|10035|2|14.491832997106
2014-01-05|10036|1|21.513224454129
2014-01-02|10018|10|17.490538729391
2014-01-06|10043|4|16.830725318234
2014-01-02|10024|9|15.149659196712
2014-01-02|10040|8|16.140793236871
2014-01-01|10030|10|16.813086872932
2014-01-05|10038|10|14.419475883786
2014-01-03|10031|1|13.35824710261
2014-01-01|10028|9|16.024465127233
2014-01-01|10037|7|17.95931676291
2014-01-03|10018|7|19.422157805479
2014-01-04|10039|1|20.25097901373
2014-01-02|10035|5|21.120196333798
2014-01-05|10018|5|20.364471955658
2014-01-05|10043|7|20.142618452813
2014-01-05|10035|5|15.65367544537
2014-01-03|10013|2|17.54850690014
2014-01-02|10016|6|17.325053069656
2014-01-03|10000|7|17.303440037797
2014-01-04|10018|4|20.182941457907
2014-01-05|10016|2|16.32940178109
2014-01-01|10002|8|19.563694976262
2014-01-03|10016|2|18.70861084154
2014-01-02|10036|3|18.909713483523
2014-01-04|10022|1|15.518032518525
2014-01-06|10045|5|20.49659940404
2014-01-02|10009|1|17.440822421499
2014-01-01|10023|8|20.171799577929
2014-01-05|10004|2|16.339085640123
2014-01-04|10019|3|18.617463823971
2014-01-04|10046|10|17.288403304345
2014-01-04|10049|10|14.197476823801
2014-01-04|10015|1|17.759606424674
2014-01-04|10001|6|12.443038282406
2014-01-02|10046|5|21.450699621102
2014-01-04|10041|1|15.457515046455
2014-01-05|10012|1|14.798690691313
2014-01-03|10038|5|13.4612316608
2014-01-02|10022|2|18.119243506499
2014-01-06|10021|7|20.331551685333
2014-01-06|10030|6|17.143105664533
2014-01-03|10046|9|17.664591476807
2014-01-02|10028|6|15.29952025086
2014-01-05|10045|4|17.570494054019
2014-01-01|10040|6|15.591209850233
2014-01-03|10021|9|14.372997690777
2014-01-03|10003|8|18.254597578391
2014-01-06|10007|1|15.899296510516
2014-01-06|10015|4|14.044112357327
2014-01-05|10000|1|12.606384133123
2014-01-02|10026|1|21.623984022808
2014-01-02|10040|5|23.753414044124
2014-01-03|10040|2|17.082237411178
2014-01-06|10020|1|14.916032513266
2014-01-01|10000|8|9.6416646667166
2014-01-04|10048|1|16.627198069874
2014-01-02|10007|9|13.55485241965
2014-01-05|10008|7|16.756253722663
2014-01-06|10017|3|14.516526197508
2014-01-06|10043|7|15.959700624284
2014-01-01|10026|8|18.333579445377
2014-01-05|10006|10|15.763405652068
2014-01-05|10045|6|16.647097653315
2014-01-02|10017|6|12.469864638195
2014-01-02|10013|4|20.351496913682
2014-01-01|10042|9|17.92759400119
2014-01-05|10033|6|14.348840028912
2014-01-02|10021|2|16.797039238524
2014-01-03|10026|9|17.112833537195
